"ID","Attending","Graduate_On","Plan_attend","Completed","Completed_On","Graduated","Graduation_Date","ID_PK","Study","Grad_Date_Change","Completed_Date_Change","Graduation_Date_Change","Degree_Recieved"
"11075","Point Pleasant Jr./Sr. High School","05/01/13 00:00:00","Marshall or Concord University",,"01/01/12 00:00:00",,"01/01/12 00:00:00","6376","Biology or Criminal Justice","Month-Only","Year-Only","Year-Only",
"11076","Point Pleasant High School","05/25/13 00:00:00","Marshall University",,"01/01/12 00:00:00",,"01/01/12 00:00:00","6377","Environmental Science",,"Year-Only","Year-Only",
"11077",,"05/25/05 00:00:00",,,"01/01/12 00:00:00","Harvard University","05/24/05 00:00:00","6378",,,"Year-Only",,"PHD"
"11078","Point Pleasant High School","05/28/12 00:00:00","MountWest",,"01/01/12 00:00:00",,"01/01/12 00:00:00","6379","ultrasound tech",,"Year-Only","Year-Only",
"11079","Point Pleasant High School","05/25/13 00:00:00","Jacksonville University",,"01/01/12 00:00:00",,"01/01/12 00:00:00","6380","Marine Biology",,"Year-Only","Year-Only",
"11081","Point Pleasant jr./sr. High School","05/25/12 00:00:00","Concord",,"01/01/12 00:00:00",,"01/01/12 00:00:00","6381","Physical therapy",,"Year-Only","Year-Only",
"11082","Point Pleasant High School","05/28/13 00:00:00","Marshall University","Almost all of Highschool","05/28/13 00:00:00","None","05/28/13 00:00:00","6382","Sports medicine",,,,"NONE"
"11031","Point Pleasant High School","05/01/13 00:00:00","Marshall University",,"01/01/12 00:00:00",,"01/01/12 00:00:00","6383","Nursing","Month-Only","Year-Only","Year-Only",
"11084","PPJSHS","05/25/13 00:00:00","Marshall University",,"01/01/12 00:00:00",,"01/01/12 00:00:00","6384","Nursing",,"Year-Only","Year-Only",
"11085","Point Pleasant Jr/Sr High","05/25/12 00:00:00",,,"01/01/12 00:00:00",,"01/01/12 00:00:00","6385",,,"Year-Only","Year-Only",
"11086","Sisters School for the Blind","05/13/13 00:00:00","The Justice League College",,"01/01/12 00:00:00",,"01/01/12 00:00:00","6386","Super Hero 101",,"Year-Only","Year-Only",
"11087","Point Pleasant High School","05/01/13 00:00:00","Marshall University",,"01/01/12 00:00:00",,"01/01/12 00:00:00","6387","Arts","Month-Only","Year-Only","Year-Only",
"11087","Point Pleasant High School","05/01/13 00:00:00","Marshall University",,"01/01/12 00:00:00",,"01/01/12 00:00:00","6388","Arts","Month-Only","Year-Only","Year-Only",
"11100",,"11/01/12 00:00:00",,"Man U","01/01/12 00:00:00","Man High School","01/01/11 00:00:00","6389",,,,,"PHD IN MUSCLES, MUSTACHES, AND BEING A MAN"
"11103","Winnisquam Regional High School","06/15/15 00:00:00","University Of Vermont",,"01/01/12 00:00:00",,"01/01/12 00:00:00","6390","Human Science",,"Year-Only","Year-Only",
"11105","Superhero High","05/23/13 00:00:00","Hero University",,"01/01/12 00:00:00",,"01/01/12 00:00:00","6391","Kick Butt Administration",,"Year-Only","Year-Only",
"11105","Superhero High","05/23/13 00:00:00","Hero University",,"01/01/12 00:00:00",,"01/01/12 00:00:00","6393","Kick Butt Administration",,"Year-Only","Year-Only",
"10993","Coon Rapids High School","06/02/13 00:00:00",,,"01/01/12 00:00:00",,"01/01/12 00:00:00","6310",,,"Year-Only","Year-Only",
"11003","Coon Rapids High School","06/01/13 00:00:00","Galladuet University",,"01/01/12 00:00:00",,"01/01/12 00:00:00","6311","American Sign Language","Month-Only","Year-Only","Year-Only",
"10994","Coon Rapids High School","06/07/13 00:00:00","University of Minnesota-Duluth",,"01/01/12 00:00:00",,"01/01/12 00:00:00","6312","Pharmacy",,"Year-Only","Year-Only",
